,Experience (YY.MM),Age in YY.,Stay/Left,New Location,New Promotion,New Job Role Match,Agency,Direct,Employee Referral,Marr.,Single,other status,B1,B2,B3,other group,< =1,> 1 & < =3,Operation,Sales,Support,Female,Male,other
1,13.0,38.08,Stay,6,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
2,16.05,36.04,Stay,5,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
3,6.06,32.07,Stay,6,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
4,7.0,32.05,Stay,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
5,9.01,39.09,Stay,5,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
6,5.02,28.02,Stay,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
7,5.11,30.11,Left,5,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
8,6.04,33.05,Left,5,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
9,10.01,41.06,Stay,7,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
10,0.1,27.1,Left,6,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
11,9.08,34.09,Stay,6,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
12,6.03,30.01,Left,4,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
13,6.09,32.07,Left,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
14,11.02,39.07,Stay,2,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
15,5.02,26.07,Stay,7,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
16,5.02,27.1,Left,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
17,5.02,36.03,Left,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
18,4.09,31.09,Left,6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
19,5.1,27.08,Stay,5,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
20,4.03,27.07,Left,4,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
21,0.03,21.05,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
22,1.1,24.1,Stay,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
23,3.03,28.08,Stay,4,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
24,11.02,39.06,Stay,4,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
25,4.04,29.02,Left,4,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
26,8.04,30.07,Stay,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
27,8.03,35.07,Stay,5,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
29,5.03,27.03,Left,7,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
30,1.0,23.03,Left,7,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
31,3.11,26.05,Stay,7,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
32,6.1,32.04,Stay,7,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
33,4.03,28.12,Left,4,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
34,7.04,32.02,Stay,6,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
35,9.07,36.04,Left,6,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
36,6.1,32.04,Left,6,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
37,2.04,26.07,Left,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
38,9.04,38.07,Stay,4,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
39,2.03,30.06,Stay,4,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
40,15.04,43.0,Stay,5,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
41,0.04,25.06,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
42,1.08,26.07,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
43,5.04,27.05,Left,7,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
44,3.04,26.03,Left,7,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
45,10.04,37.0,Stay,6,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
46,3.07,33.1,Stay,5,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
47,0.1,23.06,Left,6,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
48,12.05,39.08,Left,7,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
49,2.01,26.02,Stay,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
50,1.01,24.02,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
51,1.06,25.04,Stay,6,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
52,1.02,23.08,Stay,6,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
53,0.04,22.03,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
54,6.05,36.07,Stay,6,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
55,2.11,25.01,Stay,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
56,12.05,37.07,Stay,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
57,3.05,24.04,Left,7,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
58,4.09,30.04,Stay,7,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
59,12.05,40.07,Stay,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
60,4.06,27.07,Left,3,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
61,1.03,23.11,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
62,8.06,31.02,Stay,3,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
63,6.06,30.03,Stay,6,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
64,3.04,28.06,Stay,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
65,1.07,24.03,Left,6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
66,17.06,41.04,Stay,7,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
67,6.06,29.05,Stay,5,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
68,3.1,25.04,Stay,7,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
69,1.05,23.1,Stay,7,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
70,5.0,28.01,Left,3,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
71,6.03,28.08,Stay,7,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
72,2.11,27.06,Left,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
73,8.06,33.03,Stay,4,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
74,6.1,29.1,Stay,5,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
75,5.11,27.02,Left,6,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
76,15.06,36.02,Stay,5,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
77,5.03,26.07,Left,3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
78,10.06,33.0,Stay,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
79,6.07,28.06,Stay,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
80,8.06,31.05,Stay,3,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
81,4.11,25.02,Left,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
82,3.06,27.06,Stay,3,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
83,0.09,27.1,Stay,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
84,12.07,35.12,Stay,6,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
86,7.06,34.07,Stay,5,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
87,2.07,27.09,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
88,13.1,36.07,Stay,5,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
89,1.09,24.08,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
90,8.01,36.1,Left,6,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
91,0.07,26.07,Left,7,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
92,5.07,29.1,Stay,6,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
93,12.07,38.09,Stay,5,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
94,10.07,41.0,Stay,5,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
95,5.01,25.09,Left,6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
96,9.07,37.1,Left,6,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
97,3.07,25.07,Left,3,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
98,5.01,28.06,Stay,6,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
99,2.06,24.1,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
100,7.07,33.08,Stay,7,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
101,3.02,27.07,Stay,7,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
102,9.08,36.06,Stay,4,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
103,9.11,35.08,Stay,6,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
104,6.08,28.02,Left,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
105,7.08,30.04,Left,6,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
106,4.1,29.05,Left,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
107,4.01,27.07,Left,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
108,3.1,27.06,Left,5,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
109,0.08,22.07,Stay,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
110,1.05,25.04,Stay,6,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
111,2.02,25.06,Stay,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
112,4.08,27.1,Left,6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
113,9.01,33.08,Left,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
114,4.01,25.06,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
115,6.1,33.02,Stay,5,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
116,3.01,31.01,Stay,7,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
117,3.08,26.01,Left,3,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
118,6.08,27.04,Left,3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
119,1.09,24.04,Stay,5,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
120,4.08,30.07,Left,7,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
121,15.03,50.07,Stay,7,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
122,5.05,29.09,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
123,9.09,34.04,Stay,6,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
124,25.08,40.04,Stay,6,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
125,4.1,28.09,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
126,11.04,25.04,Stay,6,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
127,6.09,30.01,Stay,7,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
128,5.05,29.02,Stay,7,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
129,10.09,36.0,Stay,7,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
130,3.02,27.03,Stay,6,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
132,1.08,30.06,Stay,7,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
133,0.08,24.02,Left,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
134,0.09,30.01,Stay,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
135,5.02,28.02,Left,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
136,5.01,28.07,Left,4,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
137,8.09,32.09,Stay,6,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
138,12.09,35.12,Stay,7,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
139,10.09,37.07,Stay,7,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
140,10.09,33.07,Left,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
141,4.03,30.11,Stay,5,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
142,4.03,27.07,Stay,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
143,5.09,35.06,Left,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
144,4.08,30.09,Left,3,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
145,1.09,28.11,Left,6,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
146,2.11,30.1,Left,5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
147,6.01,30.08,Stay,7,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
148,9.02,32.03,Stay,7,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
149,5.05,26.06,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
150,8.11,38.06,Stay,7,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
151,11.03,36.11,Stay,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
152,11.03,35.04,Stay,2,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
153,3.02,24.09,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
154,3.11,37.07,Left,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
155,2.1,25.11,Left,6,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
156,2.0,24.02,Stay,5,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
157,11.0,39.11,Stay,7,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
158,6.09,28.05,Stay,4,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
159,4.04,26.12,Stay,3,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
160,8.01,35.09,Stay,3,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
161,4.1,27.11,Left,6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
162,0.11,26.01,Left,6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
163,7.0,31.09,Stay,7,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
164,7.1,39.0,Stay,6,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
165,5.03,42.02,Stay,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
166,3.09,25.07,Left,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
167,0.1,23.08,Stay,2,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0
168,3.06,28.05,Stay,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
169,6.04,28.05,Stay,7,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
170,9.05,36.07,Left,7,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
171,2.08,24.12,Left,7,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
172,8.1,31.01,Left,6,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
173,1.11,24.09,Left,7,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
174,2.01,24.08,Stay,6,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
175,4.1,27.11,Stay,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
176,4.02,31.04,Stay,6,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
177,5.04,29.05,Left,6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
178,3.1,28.0,Stay,7,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
179,7.09,31.08,Left,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
180,5.03,33.05,Stay,3,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
181,4.01,28.03,Stay,6,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
182,2.07,24.11,Left,6,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
183,12.08,38.0,Stay,7,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
184,4.0,28.11,Stay,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
185,2.02,23.06,Left,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
186,5.07,29.06,Stay,3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
187,3.0,26.05,Left,6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
188,0.11,25.01,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
189,1.0,23.03,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
190,6.09,29.07,Stay,6,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
191,11.11,38.04,Stay,6,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
192,3.11,26.06,Stay,4,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
193,5.11,34.08,Left,7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
194,1.11,28.04,Stay,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
195,7.01,34.03,Stay,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
196,3.0,25.08,Stay,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
197,3.06,27.07,Left,6,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
198,19.08,35.1,Stay,6,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
199,11.08,34.0,Stay,3,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
200,7.04,30.02,Stay,6,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
201,3.11,27.01,Stay,5,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
202,4.11,28.0,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
203,10.11,36.1,Stay,5,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
204,3.05,26.04,Stay,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
205,6.08,28.07,Stay,7,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
206,5.04,30.06,Stay,7,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
207,1.0,24.04,Stay,4,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
208,5.0,27.07,Left,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
209,2.06,29.1,Stay,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
210,2.08,28.06,Left,4,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
211,3.07,26.09,Left,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
212,4.05,27.04,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
213,4.08,29.04,Stay,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
214,3.06,26.11,Stay,7,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
215,9.02,33.09,Stay,6,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
216,4.0,25.05,Stay,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
217,15.11,41.02,Stay,5,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
218,3.07,24.03,Left,6,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
219,3.01,27.11,Stay,6,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
220,6.06,38.1,Left,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
221,4.11,29.12,Stay,6,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
222,7.11,30.11,Stay,7,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
223,8.0,32.12,Stay,5,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
224,2.08,26.0,Left,6,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
225,4.03,29.02,Stay,6,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
